variant_name,time,magnitude_mean,magnitude_deviation,angular_deviation,angular_mean
Lucas-Kanade,5,8.515072e-06,0.0031056379,0.010798515,2.9543013e-05
Farneback,5,0.64213914,0.772077,1.7212089,3.0381117
TVL1,5,0.18379724,0.22587506,1.500862,2.757647
Lucas-Kanade,6,9.080067e-06,0.0031056362,0.0109897135,3.1815736e-05
Farneback,6,0.6947679,0.78823215,1.7049133,3.0033283
TVL1,6,0.20682101,0.230882,1.5035589,2.783372
Lucas-Kanade,7,1.20078585e-05,0.003739679,0.012377201,3.976931e-05
Farneback,7,0.72640306,0.8249136,1.7023206,3.0167937
TVL1,7,0.21676469,0.24912179,1.5401237,2.733339
Lucas-Kanade,8,1.1925117e-05,0.0038036106,0.012401163,3.901163e-05
Farneback,8,0.7477028,0.84454167,1.6795518,3.0501733
TVL1,8,0.21902825,0.26212952,1.5659268,2.8693378
Lucas-Kanade,9,1.1930756e-05,0.005288718,0.0108107,3.1137693e-05
Farneback,9,0.7477606,0.816221,1.6794965,3.0429292
TVL1,9,0.23427668,0.27737758,1.5346518,2.9462247
Lucas-Kanade,10,1.0361343e-05,0.0034722064,0.012413233,3.7118065e-05
Farneback,10,0.7722279,0.86474913,1.649883,3.0533795
TVL1,10,0.27168378,0.30473197,1.4347754,3.0189297
Lucas-Kanade,11,1.1525605e-05,0.0036746368,0.012183414,3.8254268e-05
Farneback,11,0.77607274,0.87934023,1.6187453,3.08202
TVL1,11,0.26576522,0.29075462,1.4174368,3.144275
Lucas-Kanade,12,1.0843597e-05,0.0035409697,0.012603487,3.8633112e-05
Farneback,12,0.79587585,0.89473826,1.6147543,3.0832217
TVL1,12,0.2795567,0.30637282,1.4338304,3.254044
Lucas-Kanade,13,1.0361343e-05,0.0034722062,0.01141448,3.4087978e-05
Farneback,13,0.79297763,0.8972339,1.6250504,3.1285465
TVL1,13,0.25058848,0.29345423,1.438535,3.298897
Lucas-Kanade,14,1.30893795e-05,0.0039892574,0.013558507,4.4692963e-05
Farneback,14,0.80593103,0.940479,1.6464286,3.1554017
TVL1,14,0.21003923,0.26209372,1.5084223,3.1532717
Lucas-Kanade,15,1.3571632e-05,0.0040492485,0.013732903,4.6208e-05
Farneback,15,0.74848616,0.8744245,1.6393697,3.1861079
TVL1,15,0.23570338,0.27912247,1.4797008,3.151884
